Stock quote and option quote for AMZN on 4/10/26 07:31:41

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
233.65,Q,0,234.00,Q,234.10,P,900 x 500,"668,709",0,0,0

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
0,<empty>,32.59,<empty>,--,,258.60,165.285,"10,754,251,799",1.85

10 APR 26  (0)  100 (Weeklys)
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,,
,,<empty>,662,96.38%,3.62%,<empty>,.04,38.81%,.12, ,.15, ,13 APR 26,250,15.60, ,18.55, ,<empty>,0,14.06%,85.94%,<empty>,-.84,65.95%,,
,,<empty>,448,98.40%,1.60%,<empty>,.02,42.26%,.05, ,.07, ,13 APR 26,255,20.10, ,23.75, ,<empty>,0,11.10%,88.90%,<empty>,-.87,75.74%,,
,,<empty>,27,99.22%,0.78%,<empty>,.01,45.94%,.01, ,.05, ,13 APR 26,260,25.35, ,28.50, ,<empty>,0,9.76%,90.24%,<empty>,-.88,87.84%,,
,,<empty>,17,99.32%,0.68%,<empty>,.01,53.22%,.01, ,.05, ,13 APR 26,265,30.60, ,33.50, ,<empty>,0,9.37%,90.63%,<empty>,-.88,102.50%,,
,,<empty>,21,99.33%,0.67%,<empty>,.01,61.26%,0, ,.07, ,13 APR 26,270,35.20, ,38.50, ,<empty>,0,7.70%,92.30%,<empty>,-.90,109.01%,,
,,<empty>,23,99.88%,0.12%,<empty>,.00,56.12%,0, ,.01, ,13 APR 26,275,40.25, ,43.05, ,<empty>,1,6.32%,93.68%,<empty>,-.91,114.62%,,

15 APR 26  (5)  100 (Weeklys)
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,101.30, ,104.80, ,15 APR 26,130,0, ,.29, ,<empty>,0,98.63%,1.37%,<empty>,-.01,208.97%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,96.35, ,100.00, ,15 APR 26,135,0, ,.29, ,<empty>,0,98.61%,1.39%,<empty>,-.01,196.66%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,91.40, ,94.85, ,15 APR 26,140,0, ,.29, ,<empty>,0,98.59%,1.41%,<empty>,-.01,184.84%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,86.40, ,89.85, ,15 APR 26,145,0, ,.29, ,<empty>,0,98.55%,1.45%,<empty>,-.01,173.40%,,
,,<empty>,10,0.00%,100.00%,<empty>,1.00,--,81.40, ,85.00, ,15 APR 26,150,0, ,.29, ,<empty>,0,98.52%,1.48%,<empty>,-.01,162.34%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,76.40, ,80.00, ,15 APR 26,155,0, ,.29, ,<empty>,0,98.47%,1.53%,<empty>,-.01,151.57%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,71.40, ,75.00, ,15 APR 26,160,0, ,.28, ,<empty>,3,98.47%,1.53%,<empty>,-.01,140.44%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,66.35, ,69.90, ,15 APR 26,165,0, ,.27, ,<empty>,4,98.45%,1.55%,<empty>,-.01,129.64%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,61.50, ,65.05, ,15 APR 26,170,0, ,.26, ,<empty>,26,98.44%,1.56%,<empty>,-.01,119.14%,,
,,<empty>,1,0.00%,100.00%,<empty>,1.00,--,56.35, ,59.60, ,15 APR 26,175,0, ,.25, ,<empty>,111,98.41%,1.59%,<empty>,-.01,108.96%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,51.60, ,54.70, ,15 APR 26,180,.01, ,.23, ,<empty>,13,98.38%,1.62%,<empty>,-.01,99.04%,,
,,<empty>,10,0.00%,100.00%,<empty>,1.00,--,46.55, ,50.00, ,15 APR 26,185,0, ,.04, ,<empty>,44,99.59%,0.41%,<empty>,.00,72.62%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,44.05, ,47.20, ,15 APR 26,187.5,0, ,.04, ,<empty>,0,99.57%,0.43%,<empty>,.00,68.83%,,
,,<empty>,1,0.00%,100.00%,<empty>,1.00,--,42.10, ,44.70, ,15 APR 26,190,0, ,.04, ,<empty>,346,99.56%,0.44%,<empty>,.00,65.08%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,39.10, ,42.45, ,15 APR 26,192.5,0, ,.10, ,<empty>,101,99.04%,0.96%,<empty>,-.01,68.09%,,
,,<empty>,35,0.00%,100.00%,<empty>,1.00,--,36.60, ,39.80, ,15 APR 26,195,.01, ,.03, ,<empty>,240,99.52%,0.48%,<empty>,.00,57.69%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,34.15, ,37.35, ,15 APR 26,197.5,.01, ,.11, ,<empty>,1,98.78%,1.22%,<empty>,-.01,61.56%,,
